SR NO,SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
666,This Party Is Getting Hot,2012,This Party Is Getting Hot,3:31,Party Song,https://gaana.com/song/this-party-getting-hot,Punjabi,Party,Yo Yo Honey Singh,8.5
667,Chull,2014,Sons of kapoor,2:53,Party Song,https://gaana.com/song/kar-gayi-chull?autoplay=true,Punjabi,Party,Badshah,9
668,5 Taara,2015,5 Taara,3:44,Party Song,https://gaana.com/songinfo/5-taara-2,Punjabi,Party,Diljit Dosanjh,8.5
669,Evergreen,2015,Evergreen,3:04,Party Song,https://gaana.com/song/evergreen-500,Punjabi,Party,Ninja,6.8
670,Tanka,2015,Tanka,3:04,Party Song,https://gaana.com/album/tankha,Punjabi,Party,Ranjit Bawa,7
671,Zindabaad Yaarian,2015,Zindabaad Yaarian,4:17,Party Song,https://gaana.com/song/zindabaad-yaarian-1?autoplay=true,Punjabi,Party,Ammy Virak,8
672,Paani Hashtag,2017,Hashtag,4:08,Party Song,https://gaana.com/artist/meet-kaur/albums,Punjabi,Party,Meet Kaur,7.5
673,Dill Ton Blacck,2018,Dill Ton Black,3:08,Party Song,https://gaana.com/song/dill-ton-blacck-1?autoplay=true,Punjabi,Party,Badshah,8
674,The Town Boys,2018,The Town Boys,3:00,Party Song,https://gaana.com/song/the-town-boys,Punjabi,Party,others,7
675,Sanwala Mahi,2017,Sanwala Mahi,4:52,Party Song,https://gaana.com/song/sanwla-mahi?autoplay=true,Punjabi,Party,Girik Aman,6.8
676,Haa Kurvakeh,2017,Haa Kurvah,3:50,Party Song,https://gaana.com/song/haa-kurvakeh?autoplay=true,Punjabi,Party,Jassi Sandhu,7.5
677,Hattrick,2016,Hattrick,3:40,Party Song,https://gaana.com/album/hat-trick-,Punjabi,Party,Imran Khan,6.5
678,Party Tera Bhai Dega,2016,Party Tera Bhai Dega,3:56,Party Song,https://gaana.com/song/party-tera-bhai-dega?autoplay=true,Punjabi,Party,Karan Singh Arora,7.5
679,Cheta Karde,2016,Chete Karda,3:33,Party Song,https://gaana.com/song/chete-karda-1?autoplay=true,Punjabi,Party,Resham Singh Anmol,5.5
680,Baby This Baby That,2013,Baby This Baby That,2:46,Party Song,https://gaana.com/song/baby-this-baby-that-2?autoplay=true,Punjabi,Party,Mika Singh,8
681,Dil Chori,2018,Sonu Ke Tittu Ki Sweety,4:06,Party Song,https://gaana.com/song/dil-chori-5?autoplay=true,Punjabi,Party,Yo Yo Honey Singh,9
682,Gallan Goodiyaan,2015,Dil Dhadakne Do,2:53,Party,https://gaana.com/song/gallan-goodiyaan?autoplay=true,Punjabi,Party,Farhan Akhtar,9
683,Twist,2009,Love Aaj Kal,4:59,Party,https://gaana.com/song/twist-15?autoplay=true,Punjabi,Party,Neeraj Shridhar,9
684,Aahun Aahun,2009,Love Aaj Kal,4:50,Party,https://gaana.com/playlist/rubirubi-awnbw-ahunahun,Punjabi,Party,Master Saleem,7.5
685,Kala Chashma,2016,Bar Bar DEkho,3:03,Party,https://gaana.com/lyrics/kala-chashma,Punjabi,Party,Neha kakkar,7.5
686,Disco wich tumba,1991,Disco Pop Blast,5:53,Disco Song,https://gaana.com/song/disco-wich-tumba,Punjabi,Party,Dilshad Akhtar,8
687,TRUTH HURTS,2017,CUZ I LOVE YOU,2:53,POP,https://gaana.com/song/truth-hurts-36,ENGLISH,Pop,LIZZO0,8
688,I DON'T CARE,2019,NO.6 COLLABORATION PROJECT,3:43,POP,https://gaana.com/song/i-dont-care-964,ENGLISH,Pop,JUSTIN BIEBER,8
689,BAD GUY,2019,"WHEN WE ALL FALL ASLEEP,WHERE DO WE GO?",3:26,POP,https://gaana.com/song/bad-guy-55,ENGLISH,Pop,BILLIE EILISH,6
690,IF I CAN'T HAVE YOU,2018,SHAWN MENDES,3:12,POP,https://gaana.com/song/if-i-cant-have-you-365,ENGLISH,Pop,SHAWN MENDES,10
691,TALK,2019,SHAWN MENDES,3:17,POP,https://gaana.com/song/talk-302,ENGLISH,Pop,KHALID,6.2
692,SUCKER,2019,HAPPINESS BEGINS,3:01,POP,https://gaana.com/song/sucker-113,ENGLISH,Pop,JONAS BROTHERS,7.5
693,YOU NEED TO CALM DOWN,2019,LOVER,2:51,POP,https://gaana.com/song/you-need-to-calm-down,ENGLISH,Pop,TAYLOR SWIFT,9.7
